Manufacturer Part Number,Supplier Part Number,Description,Package,Resistance,Tolerance,Voltage Rating,Power,Link
FRC0402F1204TS,C2960795,1.2MΩ ±1% 62.5mW 0402 Thick Film Resistor,0402,1.2MΩ,±1%,50V,62.5mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2960795.html
FRC0805F1600TS,C2960793,160Ω ±1% 125mW 0805 Thick Film Resistor,0805,160Ω,±1%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2960793.html
FRL2512JR750TS,C2934385,750mΩ ±5% 1W 2512 Thick Film Resistor,2512,750mΩ,±5%,500V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2934385.html
FRL2512JR200TS,C2934373,200mΩ ±5% 1W 2512 Thick Film Resistor,2512,200mΩ,±5%,500V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2934373.html
FRL2010FR110TS,C2934351,110mΩ ±1% 750mW 2010 Thick Film Resistor,2010,110mΩ,±1%,500V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2934351.html
FRC2010J240 TS,C2934014,24Ω ±5% 750mW 2010 Thick Film Resistor,2010,24Ω,±5%,200V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2934014.html
FRC1210F3300TS,C2933817,330Ω ±1% 500mW 1210 Thick Film Resistor,1210,330Ω,±1%,200V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2933817.html
FRC1206F9093TS,C2933765,909kΩ ±1% 250mW 1206 Thick Film Resistor,1206,909kΩ,±1%,200V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2933765.html
FRC1206F26R1TS,C2933654,26.1Ω ±1% 250mW 1206 Thick Film Resistor,1206,26.1Ω,±1%,200V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2933654.html
FRC1206F10R5TS,C2933578,10.5Ω ±1% 250mW 1206 Thick Film Resistor,1206,10.5Ω,±1%,200V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2933578.html
FRC0805F1622TS,C2933332,16.2kΩ ±1% 125mW 0805 Thick Film Resistor,0805,16.2kΩ,±1%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2933332.html
FRC0603F8062TS,C2933260,80.6kΩ ±1% 100mW 0603 Thick Film Resistor,0603,80.6kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2933260.html
FRC0603F3482TS,C2933204,34.8kΩ ±1% 100mW 0603 Thick Film Resistor,0603,34.8kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2933204.html
FRC0402F4532TS,C2933099,45.3kΩ ±1% 62.5mW 0402 Thick Film Resistor,0402,45.3kΩ,±1%,50V,62.5mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2933099.html
FRC0603F9092TS,C2930136,90.9kΩ ±1% 100mW 0603 Thick Film Resistor,0603,90.9kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2930136.html
FRC0603F11R0TS,C2930058,11Ω ±1% 100mW 0603 Thick Film Resistor,0603,11Ω,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2930058.html
FRC2512J202 TS,C2907579,2kΩ ±5% 1W 2512 Thick Film Resistor,2512,2kΩ,±5%,200V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907579.html
FRC1210J330 TS,C2907549,33Ω ±5% 500mW 1210 Thick Film Resistor,1210,33Ω,±5%,200V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907549.html
FRL1206FR330TS,C2907351,330mΩ ±1% 250mW 1206 Thick Film Resistor,1206,330mΩ,±1%,500V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907351.html
FRC0805J301 TS,C2907318,300Ω ±5% 125mW 0805 Thick Film Resistor,0805,300Ω,±5%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907318.html
FRC0805F2402TS,C2907246,24kΩ ±1% 125mW 0805 Thick Film Resistor,0805,24kΩ,±1%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907246.html
FRC0805F2403TS,C2907245,240kΩ ±1% 125mW 0805 Thick Film Resistor,0805,240kΩ,±1%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907245.html
FRC0603J274 TS,C2907133,270kΩ ±5% 100mW 0603 Thick Film Resistor,0603,270kΩ,±5%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907133.html
FRC0603F6802TS,C2907063,68kΩ ±1% 100mW 0603 Thick Film Resistor,0603,68kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907063.html
FRC0402J121 TS,C2906888,120Ω ±5% 62.5mW 0402 Thick Film Resistor,0402,120Ω,±5%,50V,62.5mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2906888.html
FPL2512JR200TS,C51048339,200mΩ 2W Thick Film Resistor ±5% ±600ppm/℃ 2512 Chip Resistor - Surface Mount RoHS,2512,200mΩ,±5%,,2W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C51048339.html
FRH2512B2490TS,C49196919,1W 249Ω 200V Thick Film Resistor ±100ppm/℃ ±0.1% 2512 Chip Resistor - Surface Mount RoHS,2512,249Ω,±0.1%,200V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C49196919.html
FRC0805F9000TS,C49010113,125mW 900Ω 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,0805,900Ω,±1%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C49010113.html
FRS2512J682 TS,C42372225,6.8kΩ 1W Thick Film Resistor ±100ppm/℃ ±5% 2512 Chip Resistor - Surface Mount RoHS,2512,6.8kΩ,±5%,,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C42372225.html
FRS2512J153 TS,C42372223,15kΩ 1W Thick Film Resistor ±100ppm/℃ ±5% 2512 Chip Resistor - Surface Mount RoHS,2512,15kΩ,±5%,,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C42372223.html
FRS2512J104 TS,C42372222,1W 100kΩ Thick Film Resistor ±100ppm/℃ ±5% 2512 Chip Resistor - Surface Mount RoHS,2512,100kΩ,±5%,,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C42372222.html
FRL2010FR022TS,C7507086,22mΩ ±1% 750mW 2010 Thick Film Resistor,2010,22mΩ,±1%,,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7507086.html
FRQ1206J1R5 TS,C7468672,1.5Ω 250mW 200V Thick Film Resistor ±200ppm/℃ ±5% 1206 Chip Resistor - Surface Mount RoHS,1206,1.5Ω,±5%,200V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7468672.html
FRQ0603F1001TS,C7468527,100mW 1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS,0603,1kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7468527.html
FRP2512F2000TS,C7468341,2W 200Ω Thick Film Resistor ±200ppm/℃ ±1% 2512 Chip Resistor - Surface Mount RoHS,2512,200Ω,±1%,,2W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7468341.html
FRL2512FR043TS,C7467694,1W 43mΩ Thick Film Resistor ±1200ppm/℃ ±1% 2512 Chip Resistor - Surface Mount RoHS,2512,43mΩ,±1%,,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467694.html
FRL2010FR091TS,C7467687,750mW 91mΩ Thick Film Resistor ±600ppm/℃ ±1% 2010 Chip Resistor - Surface Mount RoHS,2010,91mΩ,±1%,,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467687.html
FRC1210F1202TS,C7467475,12kΩ 500mW 200V Thick Film Resistor ±1% ±100ppm/℃ 1210 Chip Resistor - Surface Mount RoHS,1210,12kΩ,±1%,200V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467475.html
FRC2512J125 TS,C7467374,1W 1.2MΩ 200V Thick Film Resistor ±5% ±100ppm/℃ 2512 Chip Resistor - Surface Mount RoHS,2512,1.2MΩ,±5%,200V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467374.html
FRL2512FR140TS,C5713412,1W 140mΩ 500V Thick Film Resistor ±1% ±600ppm/℃ 2512 Chip Resistor - Surface Mount RoHS,2512,140mΩ,±1%,500V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5713412.html
FRC2512F6802TS,C5159762,68kΩ ±1% 1W 2512 Thick Film Resistor,2512,68kΩ,±1%,200V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5159762.html
FRC2010F20R0TS,C5159755,20Ω ±1% 750mW 2010 Thick Film Resistor,2010,20Ω,±1%,200V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5159755.html
FRL1812FR820TS,C5159749,750mW 820mΩ Thick Film Resistor ±200ppm/℃ ±1% 1812 Chip Resistor - Surface Mount RoHS,1812,820mΩ,±1%,,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5159749.html
FRC0805F9104TS,C5159725,9.1MΩ ±1% 125mW 0805 Thick Film Resistor,0805,9.1MΩ,±1%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5159725.html
FRC0603F1131TS,C5154019,1.13kΩ ±1% 100mW 0603 Thick Film Resistor,0603,1.13kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5154019.html
FRL1812JR160TS,C5126144,160mΩ Thick Film Resistor ±600ppm/℃ ±5% 1812 Chip Resistor - Surface Mount RoHS,1812,160mΩ,±5%,,,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5126144.html
FRC0402F8661TS,C5126133,8.66kΩ ±1% 62.5mW 0402 Thick Film Resistor,0402,8.66kΩ,±1%,50V,62.5mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5126133.html
FRC1206F1R33TS,C5126092,1.33Ω ±1% 250mW 1206 Thick Film Resistor,1206,1.33Ω,±1%,200V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5126092.html
FRL0805FR110TS,C5126077,110mΩ ±1% 125mW 0805 Thick Film Resistor,0805,110mΩ,±1%,300V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5126077.html
FRC0402F9532TS,C5126039,95.3kΩ ±1% 62.5mW 0402 Thick Film Resistor,0402,95.3kΩ,±1%,50V,62.5mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5126039.html
FRC1210F36R0TS,C5121553,36Ω ±1% 500mW 1210 Thick Film Resistor,1210,36Ω,±1%,200V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5121553.html
FRC2010J183 TS,C3013316,18kΩ ±5% 750mW 2010 Thick Film Resistor,2010,18kΩ,±5%,200V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C3013316.html
FRC1206F2704TS,C3013248,2.7MΩ ±1% 250mW 1206 Thick Film Resistor,1206,2.7MΩ,±1%,200V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C3013248.html
FRL2010JR330TS,C3000790,330mΩ ±5% 750mW 2010 Thick Film Resistor,2010,330mΩ,±5%,500V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C3000790.html
